epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4757.15,0.67576,0.50897,1.19854,0.941,0.93062,0.91144,0.78462,0.66374,0.51399,1.38962,0.004456,0.004456,0.004456
58,7528.44,0.66785,0.50056,1.19377,0.9695,0.93281,0.93167,0.79581,0.66057,0.50333,1.38265,0.004357,0.004357,0.004357
59,7613.61,0.6709,0.50077,1.19509,0.94522,0.93972,0.92719,0.79755,0.6593,0.50035,1.38283,0.004258,0.004258,0.004258
60,7698.74,0.66748,0.49492,1.19286,0.93818,0.93213,0.91903,0.7932,0.65735,0.50297,1.37849,0.004159,0.004159,0.004159
61,7783.87,0.67036,0.4987,1.1958,0.94837,0.94101,0.92009,0.79103,0.65794,0.50832,1.38405,0.00406,0.00406,0.00406
62,7869.03,0.66556,0.48824,1.19177,0.9736,0.935,0.92591,0.79223,0.65736,0.49486,1.37745,0.003961,0.003961,0.003961
63,7954.12,0.66321,0.49348,1.19274,0.95684,0.92807,0.9268,0.79754,0.65904,0.4916,1.38172,0.003862,0.003862,0.003862
64,8039.22,0.66118,0.48352,1.1901,0.96389,0.92992,0.92004,0.79386,0.65925,0.50984,1.38004,0.003763,0.003763,0.003763
65,8124.3,0.66042,0.4727,1.18907,0.94404,0.93194,0.91768,0.794,0.65678,0.50842,1.37655,0.003664,0.003664,0.003664
66,8209.4,0.65824,0.4777,1.18959,0.93403,0.93957,0.91825,0.79522,0.65439,0.50726,1.3742,0.003565,0.003565,0.003565
67,8294.51,0.65158,0.46546,1.1827,0.94458,0.93677,0.91543,0.79397,0.65778,0.50645,1.37924,0.003466,0.003466,0.003466
68,8379.68,0.65407,0.46603,1.18307,0.95201,0.93884,0.91848,0.79641,0.65564,0.50485,1.37648,0.003367,0.003367,0.003367
69,8464.09,0.6511,0.45992,1.18288,0.95205,0.93493,0.91851,0.79353,0.65453,0.51261,1.3766,0.003268,0.003268,0.003268
70,8547.89,0.65158,0.46287,1.18286,0.95009,0.93133,0.92003,0.7965,0.65511,0.5128,1.37659,0.003169,0.003169,0.003169
71,8614.21,0.64528,0.45356,1.17901,0.9593,0.93066,0.91972,0.79448,0.65795,0.51254,1.37988,0.00307,0.00307,0.00307
72,8674.95,0.65023,0.45222,1.18586,0.95196,0.93769,0.92464,0.79821,0.65428,0.50783,1.37489,0.002971,0.002971,0.002971
73,8727.18,0.6489,0.45926,1.18048,0.96886,0.93414,0.9235,0.7986,0.65508,0.51691,1.3768,0.002872,0.002872,0.002872
74,8810.11,0.64742,0.45024,1.18159,0.96989,0.93676,0.92504,0.80031,0.65588,0.50394,1.37512,0.002773,0.002773,0.002773
75,8893.08,0.64867,0.44451,1.18077,0.97146,0.9361,0.92606,0.79963,0.65418,0.50574,1.37264,0.002674,0.002674,0.002674
76,8976,0.64631,0.44137,1.17643,0.97432,0.93621,0.92838,0.80466,0.65393,0.50669,1.37298,0.002575,0.002575,0.002575
77,9058.94,0.6415,0.43107,1.17422,0.96619,0.93445,0.92635,0.80083,0.65522,0.50717,1.37665,0.002476,0.002476,0.002476
78,9141.86,0.64748,0.43191,1.17887,0.96488,0.93205,0.92492,0.79998,0.65306,0.50257,1.3716,0.002377,0.002377,0.002377
79,9224.78,0.64145,0.43372,1.17946,0.95837,0.93456,0.92137,0.79847,0.654,0.50104,1.37363,0.002278,0.002278,0.002278
80,9307.74,0.63093,0.41965,1.17127,0.96537,0.93414,0.92352,0.79818,0.65359,0.50115,1.37305,0.002179,0.002179,0.002179
81,9390.68,0.63407,0.42175,1.17349,0.96106,0.93453,0.92907,0.80354,0.65252,0.4982,1.37213,0.00208,0.00208,0.00208
82,9473.66,0.63115,0.41629,1.17116,0.96633,0.93556,0.92854,0.80142,0.65308,0.49902,1.37396,0.001981,0.001981,0.001981
83,9556.72,0.62858,0.4189,1.16593,0.95506,0.94375,0.92793,0.80161,0.65284,0.50092,1.37282,0.001882,0.001882,0.001882
84,9639.4,0.63409,0.41707,1.17118,0.9682,0.93514,0.92814,0.80211,0.65182,0.49768,1.37238,0.001783,0.001783,0.001783
85,9722.06,0.62831,0.41162,1.16803,0.97292,0.93575,0.9292,0.80315,0.65275,0.49788,1.37286,0.001684,0.001684,0.001684
86,9804.72,0.63069,0.41157,1.1687,0.96906,0.93632,0.92811,0.80286,0.65369,0.50861,1.37347,0.001585,0.001585,0.001585
87,9887.38,0.63107,0.40905,1.16977,0.95658,0.94267,0.92383,0.80126,0.65437,0.51688,1.3735,0.001486,0.001486,0.001486
88,9966.58,0.62404,0.40612,1.1663,0.97101,0.9326,0.92379,0.7972,0.65525,0.5204,1.37484,0.001387,0.001387,0.001387
89,10052.1,0.62412,0.39817,1.16296,0.95574,0.94098,0.92474,0.79751,0.65491,0.5175,1.37502,0.001288,0.001288,0.001288
90,10137.7,0.62022,0.39837,1.16424,0.9631,0.934,0.92533,0.79853,0.6549,0.51516,1.37566,0.001189,0.001189,0.001189
91,10249.8,0.51643,0.22444,1.23099,0.96543,0.94043,0.9261,0.79846,0.65479,0.51629,1.37406,0.00109,0.00109,0.00109
92,10334.8,0.50452,0.21271,1.22221,0.96358,0.94174,0.92481,0.79962,0.65406,0.51477,1.37371,0.000991,0.000991,0.000991
93,10419.9,0.50535,0.21005,1.21639,0.96131,0.9414,0.92506,0.79884,0.65338,0.51591,1.37394,0.000892,0.000892,0.000892
94,10468.8,0.50034,0.20468,1.21505,0.96371,0.93466,0.92298,0.79886,0.65415,0.51644,1.37462,0.000793,0.000793,0.000793
95,10549.5,0.4934,0.20286,1.2103,0.94745,0.95083,0.92598,0.79953,0.65497,0.51451,1.37574,0.000694,0.000694,0.000694
96,10634.6,0.4957,0.19956,1.20452,0.95076,0.95062,0.9261,0.79973,0.65508,0.51468,1.37638,0.000595,0.000595,0.000595
97,10719.7,0.49474,0.19907,1.20042,0.95538,0.94897,0.92731,0.80068,0.65531,0.51325,1.37687,0.000496,0.000496,0.000496
98,10804.8,0.48618,0.19653,1.19879,0.95584,0.94805,0.92843,0.80211,0.65593,0.51377,1.37819,0.000397,0.000397,0.000397
99,10890,0.49047,0.19497,1.20013,0.95634,0.94847,0.92893,0.80224,0.65644,0.5136,1.37887,0.000298,0.000298,0.000298
100,10973.5,0.48255,0.19271,1.19949,0.9564,0.94859,0.92822,0.80155,0.65714,0.5148,1.37887,0.000199,0.000199,0.000199
