epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1362.14,0.68775,0.34255,1.22396,0.9983,1,0.995,0.84511,0.72447,0.29403,1.4576,0.000537733,0.000537733,0.000537733
65,1383.49,0.6653,0.33873,1.21148,0.999,1,0.995,0.85976,0.69689,0.27383,1.42731,0.000523586,0.000523586,0.000523586
66,1404.91,0.65467,0.33385,1.20777,0.99899,1,0.995,0.84173,0.73864,0.28607,1.49319,0.000509438,0.000509438,0.000509438
67,1426.2,0.65972,0.32606,1.20148,0.99911,1,0.995,0.85451,0.70767,0.26875,1.43072,0.000495291,0.000495291,0.000495291
68,1447.31,0.65644,0.3291,1.20073,0.99883,1,0.995,0.85019,0.70039,0.26155,1.43675,0.000481144,0.000481144,0.000481144
69,1468.39,0.65615,0.32071,1.20473,0.99896,1,0.995,0.84939,0.70385,0.26344,1.43559,0.000466997,0.000466997,0.000466997
70,1489.49,0.66585,0.32496,1.2062,0.99918,1,0.995,0.8548,0.70889,0.27083,1.44341,0.00045285,0.00045285,0.00045285
71,1510.62,0.66505,0.32066,1.21444,0.99901,1,0.995,0.85806,0.69067,0.26157,1.41424,0.000438703,0.000438703,0.000438703
72,1531.76,0.66268,0.32374,1.20242,0.99906,1,0.995,0.85176,0.70088,0.26697,1.43108,0.000424556,0.000424556,0.000424556
73,1552.84,0.65735,0.32332,1.20578,0.99973,1,0.995,0.85346,0.69925,0.26194,1.43812,0.000410409,0.000410409,0.000410409
74,1573.93,0.66185,0.32902,1.19979,0.99912,1,0.995,0.85671,0.69244,0.25971,1.42596,0.000396262,0.000396262,0.000396262
75,1595.02,0.65206,0.31831,1.19755,0.999,1,0.995,0.85889,0.68797,0.25969,1.41997,0.000382115,0.000382115,0.000382115
76,1616.12,0.65872,0.31546,1.20634,0.99917,1,0.995,0.85568,0.70353,0.26032,1.43829,0.000367967,0.000367967,0.000367967
77,1637.2,0.65091,0.31232,1.19959,0.99908,1,0.995,0.85731,0.69671,0.26672,1.43089,0.00035382,0.00035382,0.00035382
78,1658.26,0.64486,0.31555,1.18768,0.99919,1,0.995,0.85373,0.70447,0.26313,1.44055,0.000339673,0.000339673,0.000339673
79,1679.34,0.65065,0.32114,1.1825,0.99892,1,0.995,0.85333,0.71155,0.27061,1.44477,0.000325526,0.000325526,0.000325526
80,1700.46,0.63737,0.30888,1.18854,0.99893,1,0.995,0.85413,0.70172,0.25941,1.44401,0.000311379,0.000311379,0.000311379
81,1721.55,0.61658,0.30334,1.1758,0.99978,1,0.995,0.85057,0.71819,0.26683,1.46385,0.000297232,0.000297232,0.000297232
82,1742.65,0.63732,0.31252,1.18468,0.99892,1,0.995,0.85706,0.68693,0.25642,1.41175,0.000283085,0.000283085,0.000283085
83,1763.98,0.63999,0.30937,1.19579,0.99924,1,0.995,0.85508,0.69999,0.25871,1.43328,0.000268938,0.000268938,0.000268938
84,1775.87,0.62809,0.30635,1.18656,0.99912,1,0.995,0.85798,0.69305,0.26168,1.41842,0.000254791,0.000254791,0.000254791
85,1791.5,0.63767,0.30433,1.19055,0.99926,1,0.995,0.85355,0.68487,0.25867,1.40977,0.000240644,0.000240644,0.000240644
86,1812.88,0.64454,0.30428,1.19474,0.99931,1,0.995,0.85544,0.70164,0.26281,1.43413,0.000226497,0.000226497,0.000226497
87,1834.27,0.62504,0.29312,1.18073,0.99886,1,0.995,0.854,0.6959,0.26203,1.42506,0.000212349,0.000212349,0.000212349
88,1855.65,0.61758,0.29171,1.17139,0.9991,1,0.995,0.85729,0.69455,0.263,1.42458,0.000198202,0.000198202,0.000198202
89,1877.03,0.62359,0.29495,1.17727,0.99905,1,0.995,0.86202,0.69352,0.25588,1.41684,0.000184055,0.000184055,0.000184055
90,1898.43,0.61144,0.28826,1.16487,0.99933,1,0.995,0.86426,0.6948,0.2525,1.42454,0.000169908,0.000169908,0.000169908
91,1945.35,0.49162,0.22638,1.21218,0.99879,1,0.995,0.85341,0.70146,0.25964,1.43009,0.000155761,0.000155761,0.000155761
92,1966.64,0.48653,0.21019,1.2168,0.99908,1,0.995,0.8554,0.69109,0.264,1.41882,0.000141614,0.000141614,0.000141614
93,1987.92,0.47531,0.20683,1.20112,0.9994,1,0.995,0.85837,0.68617,0.2529,1.4166,0.000127467,0.000127467,0.000127467
94,2009.18,0.47185,0.20358,1.20408,0.99939,1,0.995,0.86137,0.68892,0.25697,1.42163,0.00011332,0.00011332,0.00011332
95,2030.47,0.47144,0.2005,1.19712,0.99939,1,0.995,0.86436,0.68533,0.25111,1.41957,9.91726e-05,9.91726e-05,9.91726e-05
96,2051.8,0.46091,0.1972,1.1996,0.99945,1,0.995,0.85805,0.68834,0.2525,1.4252,8.50255e-05,8.50255e-05,8.50255e-05
97,2073.06,0.459,0.19641,1.20495,0.99915,1,0.995,0.85483,0.69082,0.25184,1.42674,7.08784e-05,7.08784e-05,7.08784e-05
98,2094.37,0.46208,0.19643,1.19488,0.99946,1,0.995,0.86126,0.686,0.24879,1.41586,5.67313e-05,5.67313e-05,5.67313e-05
99,2115.66,0.45544,0.19415,1.19292,0.99947,1,0.995,0.85753,0.69002,0.25223,1.42028,4.25842e-05,4.25842e-05,4.25842e-05
100,2136.97,0.45807,0.19318,1.18401,0.99943,1,0.995,0.85939,0.68705,0.24899,1.4175,2.84371e-05,2.84371e-05,2.84371e-05
