epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2180.87,0.87451,0.45378,1.47262,0.99872,1,0.995,0.72284,1.25625,0.47602,1.09438,0.000665057,0.000665057,0.000665057
56,2224.66,0.87009,0.44453,1.45762,0.99829,1,0.995,0.72304,1.25569,0.47116,1.05238,0.000650909,0.000650909,0.000650909
57,2268.42,0.8555,0.43488,1.43735,0.99868,1,0.995,0.71526,1.27835,0.46885,1.05129,0.000636762,0.000636762,0.000636762
58,2312.29,0.86753,0.42764,1.44515,0.999,1,0.995,0.71821,1.27206,0.46929,1.05889,0.000622615,0.000622615,0.000622615
59,2356.13,0.86493,0.44171,1.47158,0.99603,0.99959,0.995,0.72306,1.26456,0.46893,1.05696,0.000608468,0.000608468,0.000608468
60,2399.98,0.87734,0.44432,1.46055,0.99872,1,0.995,0.73297,1.25624,0.46252,1.04938,0.000594321,0.000594321,0.000594321
61,2443.87,0.86973,0.4395,1.4447,0.99904,1,0.995,0.71958,1.27259,0.46314,1.03375,0.000580174,0.000580174,0.000580174
62,2487.62,0.83433,0.42925,1.43267,0.9985,1,0.995,0.71871,1.27688,0.4847,1.11648,0.000566027,0.000566027,0.000566027
63,2531.5,0.85276,0.42518,1.44357,0.98356,0.99747,0.99437,0.72254,1.26354,0.47132,1.06558,0.00055188,0.00055188,0.00055188
64,2575.36,0.8417,0.4239,1.44645,0.99767,1,0.995,0.7339,1.25373,0.46499,1.09071,0.000537733,0.000537733,0.000537733
65,2619.2,0.84226,0.42123,1.42697,0.99267,1,0.99341,0.72053,1.29551,0.49484,1.08119,0.000523586,0.000523586,0.000523586
66,2662.95,0.82668,0.4108,1.43259,0.99734,1,0.995,0.70526,1.30394,0.49887,1.1077,0.000509438,0.000509438,0.000509438
67,2706.74,0.81618,0.40845,1.41064,0.99888,1,0.995,0.69568,1.30172,0.46302,1.09147,0.000495291,0.000495291,0.000495291
68,2750.39,0.85766,0.41867,1.43359,0.99847,0.99982,0.995,0.72063,1.26323,0.456,1.07437,0.000481144,0.000481144,0.000481144
69,2794.24,0.83326,0.41885,1.43721,0.99799,1,0.995,0.72705,1.26304,0.4625,1.07213,0.000466997,0.000466997,0.000466997
70,2838.07,0.83608,0.41846,1.43745,0.99874,1,0.995,0.72321,1.26602,0.45162,0.99814,0.00045285,0.00045285,0.00045285
71,2881.95,0.83037,0.40284,1.43297,0.99924,1,0.995,0.72887,1.26277,0.45613,1.03784,0.000438703,0.000438703,0.000438703
72,2925.82,0.84212,0.40681,1.43337,0.99906,1,0.995,0.72025,1.27329,0.44617,1.03066,0.000424556,0.000424556,0.000424556
